epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0283,1.24449,3.37678,1.47076,0.01258,0.66667,0.36852,0.18789,1.1262,3.31737,1.60542,1.429e-05,1.429e-05,1.429e-05
2,20.8142,1.13688,3.27994,1.39611,0.01296,0.66667,0.40623,0.1985,0.85014,3.25744,1.43172,4.20212e-05,4.20212e-05,4.20212e-05
3,30.6258,0.94564,3.15748,1.22586,0.02003,1,0.45393,0.32113,0.57593,2.99059,1.06082,6.86206e-05,6.86206e-05,6.86206e-05
4,40.1475,0.83122,2.95032,1.12524,0.02002,1,0.60194,0.55834,0.45781,2.86092,0.89565,9.40882e-05,9.40882e-05,9.40882e-05
5,50.1485,0.74251,2.72216,1.03742,0.02001,1,0.62989,0.57248,0.46422,2.83255,0.88969,0.000118424,0.000118424,0.000118424
6,59.9618,0.71537,2.54338,0.99994,0.02008,1,0.70194,0.63075,0.50859,2.78915,0.89841,0.000141628,0.000141628,0.000141628
7,69.7914,0.728,2.20563,1.01285,0.02009,1,0.74044,0.68633,0.57799,2.70456,0.95389,0.000163701,0.000163701,0.000163701
8,79.6688,0.70312,1.91936,0.9731,0.02002,1,0.74044,0.6551,0.7118,2.57992,1.04271,0.000184641,0.000184641,0.000184641
9,89.7653,0.75886,1.76104,1.00235,0.02001,1,0.68544,0.60481,0.76386,2.53588,1.0769,0.00020445,0.00020445,0.00020445
10,99.567,0.74002,1.55583,1.01619,0.40055,0.84174,0.77389,0.64684,0.78046,2.48964,1.05931,0.000223127,0.000223127,0.000223127
11,109.145,0.77927,1.41271,1.00472,0.81446,0.33333,0.82917,0.70905,0.74612,2.45331,1.0014,0.000240672,0.000240672,0.000240672
12,118.884,0.70865,1.27825,1.01684,0.83058,0.33333,0.82917,0.72967,0.69981,2.42609,0.975,0.000257086,0.000257086,0.000257086
13,128.542,0.70114,1.18639,0.9902,0.92031,0.33333,0.82917,0.76283,0.62205,2.41123,0.95864,0.000272367,0.000272367,0.000272367
14,138.208,0.70477,1.07739,1.01601,0.92136,0.33333,0.88444,0.77941,0.56544,2.38506,0.94188,0.000286517,0.000286517,0.000286517
15,147.916,0.7466,1.06835,1.05109,0.90521,0.33333,0.93944,0.82891,0.58946,2.30895,0.9537,0.000299536,0.000299536,0.000299536
16,157.671,0.75521,0.97307,1.03084,0.89379,0.33333,0.995,0.86231,0.69879,2.148,0.9925,0.000311422,0.000311422,0.000311422
17,167.464,0.7151,0.90705,0.99775,0.87995,1,0.995,0.8043,0.83707,1.90342,1.06371,0.000322177,0.000322177,0.000322177
18,177.181,0.72918,0.90475,0.99545,0.83171,1,0.995,0.78773,0.92777,1.58871,1.11617,0.0003318,0.0003318,0.0003318
19,187,0.75916,0.93064,1.02523,0.92743,0.94601,0.995,0.80431,0.95029,1.2901,1.11852,0.000340291,0.000340291,0.000340291
20,196.825,0.71868,0.86596,1.00087,0.86751,0.98278,0.995,0.79601,0.92934,1.07935,1.10811,0.00034765,0.00034765,0.00034765
21,207.067,0.776,0.86184,1.05698,0.90587,0.98846,0.995,0.82917,0.84652,0.85181,1.04798,0.000353878,0.000353878,0.000353878
22,216.76,0.716,0.86919,1.05393,0.96554,1,0.995,0.81258,0.82848,0.78136,1.02447,0.000358973,0.000358973,0.000358973
23,226.444,0.68764,0.80714,1.00987,0.90513,1,0.995,0.78774,0.8718,0.7899,1.06662,0.000362937,0.000362937,0.000362937
24,236.229,0.68472,0.792,1.02355,0.91223,1,0.995,0.81257,0.86629,0.76147,1.086,0.00036577,0.00036577,0.00036577
25,245.915,0.72738,0.79024,1.00277,0.93369,1,0.995,0.81257,0.81493,0.74002,1.06333,0.00036747,0.00036747,0.00036747
26,255.85,0.75503,0.79174,1.01399,0.93825,1,0.995,0.84576,0.76544,0.72966,1.03874,0.000368039,0.000368039,0.000368039
27,265.718,0.70677,0.78297,1.02818,0.95063,1,0.995,0.82917,0.76583,0.73584,1.04849,0.000367476,0.000367476,0.000367476
28,275.606,0.70488,0.78753,0.98857,0.95063,1,0.995,0.82917,0.76583,0.73584,1.04849,0.000365781,0.000365781,0.000365781
29,285.497,0.69506,0.70997,0.98381,0.93407,1,0.995,0.86233,0.73636,0.7602,1.04709,0.000362955,0.000362955,0.000362955
30,295.357,0.69236,0.74338,0.99085,0.89856,0.99998,0.995,0.86233,0.68045,0.77837,1.02963,0.000358996,0.000358996,0.000358996
31,305.174,0.66001,0.72982,0.98514,0.89856,0.99998,0.995,0.86233,0.68045,0.77837,1.02963,0.000353906,0.000353906,0.000353906
32,314.977,0.64432,0.73344,0.9866,0.86768,0.98787,0.995,0.83749,0.71365,0.83202,1.05019,0.000347684,0.000347684,0.000347684
33,325.231,0.7084,0.73429,1.03633,0.82112,0.96709,0.995,0.82091,0.73927,0.88153,1.04231,0.000340331,0.000340331,0.000340331
34,335.22,0.70059,0.72734,1.00144,0.82112,0.96709,0.995,0.82091,0.73927,0.88153,1.04231,0.000331845,0.000331845,0.000331845
35,345.052,0.67031,0.72223,1.04509,0.784,0.9595,0.995,0.82091,0.77731,0.8946,1.05984,0.000322228,0.000322228,0.000322228
36,354.883,0.64211,0.68583,0.9953,0.79719,0.98152,0.995,0.80433,0.77798,0.8271,1.0825,0.000311479,0.000311479,0.000311479
37,364.854,0.6773,0.74237,0.98825,0.79719,0.98152,0.995,0.80433,0.77798,0.8271,1.0825,0.000299598,0.000299598,0.000299598
38,374.66,0.64693,0.71568,1.02648,0.79804,0.98358,0.995,0.81268,0.76562,0.77279,1.09655,0.000286586,0.000286586,0.000286586
39,384.673,0.66422,0.70632,0.99814,0.9081,0.89789,0.995,0.82093,0.79836,0.73895,1.12039,0.000272442,0.000272442,0.000272442
40,395.146,0.60592,0.6533,0.96657,0.9081,0.89789,0.995,0.82093,0.79836,0.73895,1.12039,0.000257166,0.000257166,0.000257166
41,405.296,0.6156,0.69073,1.01817,0.88303,0.96008,0.995,0.81268,0.81064,0.70951,1.11276,0.000240758,0.000240758,0.000240758
42,416.189,0.61158,0.66495,0.99769,0.91236,0.92631,0.995,0.81267,0.82176,0.74422,1.11755,0.000223218,0.000223218,0.000223218
43,426.964,0.61019,0.67788,0.97363,0.91236,0.92631,0.995,0.81267,0.82176,0.74422,1.11755,0.000204547,0.000204547,0.000204547
44,437.953,0.59173,0.67524,0.97395,0.94266,0.88965,0.995,0.796,0.83517,0.79055,1.11875,0.000184744,0.000184744,0.000184744
45,447.774,0.57555,0.64297,0.95424,0.94266,0.88965,0.995,0.796,0.83517,0.79055,1.11875,0.000163809,0.000163809,0.000163809
46,457.439,0.59219,0.62762,0.93878,0.93554,0.88637,0.995,0.796,0.85196,0.82485,1.12151,0.000141743,0.000141743,0.000141743
47,467.021,0.59643,0.66685,0.96645,0.93554,0.88637,0.995,0.796,0.85196,0.82485,1.12151,0.000118544,0.000118544,0.000118544
48,476.773,0.58603,0.6377,0.98027,0.93365,0.87484,0.995,0.796,0.86482,0.85462,1.12127,9.4214e-05,9.4214e-05,9.4214e-05
49,486.335,0.59035,0.63493,0.95667,0.93365,0.87484,0.995,0.796,0.86482,0.85462,1.12127,6.8752e-05,6.8752e-05,6.8752e-05
50,496.108,0.59067,0.65969,0.97382,0.93827,0.86926,0.995,0.796,0.86326,0.84722,1.11387,4.21584e-05,4.21584e-05,4.21584e-05
